資料版本編號,附屬路線唯一識別代碼,所屬業管機關,營運業者編號,去返程 [0: 去程; 1: 返程; 2: 迴圈; 255: 未知],站牌所屬的站位唯一代碼,站牌所屬的站位代碼,站牌所屬的站名碼,站牌唯一識別代碼,地區既用中之站牌代碼,站牌中文名稱,站牌英文名稱,上下車站別 [0: 可上下車; 1: 可上車; -1: 可下車],路線經過站牌之順序,位置緯度(WGS84),位置經度(WGS84),地理識別碼,市區鄉鎮代碼,市區鄉鎮名稱,站牌位置縣市之代碼,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
VersionID,SubrouteUID,Authority,OperatorNo,Direction,StationUID,StationID,StationNameID,StopUID,StopID,StopNameZh,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,Geohash,TownID,TownName,LocationCityCode,SrcUpdateTime,UpdateTime,InfoDate
1613,TPE104230,Taipei,0301,1,TPE50612,50612,,TPE21522,21522,幸福中華路口,Xingfu &amp;amp; Zhonghua Intersection,0,17,25.04932385,121.4533855,wsqqe8pd,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10432,Taipei,0301,0,TPE4657,4657,,TPE58896,58896,港墘派出所,Gangqian Police&amp;nbsp;Station,0,23,25.078636,121.57619,wsqqwt3j,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10333,Taipei,1304,0,TPE2230,2230,,TPE14622,14622,台電大樓,Taipower Building,0,33,25.018486,121.530566,wsqqm6rz,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107820,Taipei,0813,0,TPE1000762,1000762,,TPE38731,38731,水源路口,Shuiyuan Rd. Entrance,0,30,25.0214728907771,121.525083045325,wsqqm75b,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE155894,Taipei,0301,0,TPE3468,3468,,TPE36368,36368,慈化公園,Cihua Park,0,20,25.0851042085456,121.488483238014,wsqqsw95,2,三重區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104140,Taipei,0301,1,TPE2072,2072,,TPE21268,21268,市議會,City Council,-1,1,25.0370286899675,121.562097736356,wsqqqjyg,2,信義區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102630,Taipei,0913,0,TPE7208,7208,,TPE35319,35319,惇敘工商(行義),Dunxu High School of Industry and Commerce(Xingyi),-1,49,25.14348,121.52727,wsqrj3jr,12,北投區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10231,Taipei,0913,0,TPE8672,8672,,TPE10033,10033,福華商場,Fuhua Market,0,18,25.06897,121.59362,wsqqwgtv,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE159519,Taipei,0301,1,TPE15087,15087,,TPE10136,10136,民和公寓,Minhe Apartment,0,32,25.0810914736106,121.4791180235,wsqqsmf7,14,蘆洲區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10333,Taipei,1304,1,TPE2450,2450,,TPE14653,14653,捷運萬隆站,MRT Wanlong,0,16,25.0018621,121.5387951,wsqqjxmy,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102630,Taipei,0913,1,TPE1000275,1000275,,TPE35345,35345,士林國中,Shilin Jr. High School,0,26,25.0948726073598,121.523354234095,wsqqv26s,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10334,Taipei,1304,1,TPE2046,2046,,TPE14769,14769,世貿中心(基隆路),World Trade Center (Keelung Rd.),-1,4,25.03377228,121.5597982,wsqqqjm0,2,信義區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
